Age,Gender,Calorie_Intake,Sugar_Intake,Physical_Activity,Fast_Food_Frequency,Screen_Time,Height,Weight,BMI
56,Female,3091,90,160,4,1,1.569069669,81.19939362,32.98134265
69,Female,2090,106,27,0,9,1.629449127,74.27356649,27.97387738
46,Male,2938,11,45,2,3,1.637725604,71.45346635,26.64041738
32,Female,3022,48,112,1,8,1.51419751,98.1630451,42.81372024
60,Female,2350,83,115,0,7,1.41055857,57.32391444,28.81068548
25,Male,1939,23,71,4,11,1.692665179,65.07635241,22.71334418
78,Male,3156,21,119,0,2,1.689305531,57.11426877,20.01373813
38,Male,2213,90,112,0,11,1.85434018,72.63998764,21.12501101
56,Male,1931,87,93,2,10,1.800220089,55.15346794,17.01851326
75,Female,2447,60,0,2,0,1.657941223,65.31992875,23.76333785
36,Female,1827,19,57,4,5,1.568973924,82.6287085,33.56599403
40,Male,2780,53,148,0,9,1.785402874,54.06780958,16.96158045
28,Female,3165,112,55,2,10,1.54817662,82.56495176,34.44726309
28,Female,2360,49,69,2,6,1.757142063,52.99665136,17.16463919
41,Male,3077,102,144,0,1,1.477825617,72.69521811,33.28583552
70,Male,2597,118,77,2,10,1.885901797,76.08193761,21.39160722
53,Male,2757,69,134,3,5,1.521814687,85.80611154,37.05055172
57,Female,3044,79,78,2,7,1.531201122,83.54005105,35.63118441
41,Male,3405,113,71,4,0,1.421217427,57.07114782,28.25501607
20,Female,3066,40,175,4,7,1.602320116,73.9769061,28.81360472
39,Female,3131,46,9,1,2,1.702315314,58.06785513,20.03806461
70,Female,2781,82,126,1,10,1.578268084,78.88070444,31.66716842
19,Male,3315,67,40,0,8,1.54335813,85.58571519,35.93088017
41,Male,1728,52,146,4,9,1.47610675,69.33407202,31.82080593
61,Female,2768,118,135,1,9,1.683581185,70.40826373,24.84022399
47,Female,2950,106,157,0,7,1.733443647,68.81550348,22.90165334
55,Female,3233,80,106,1,1,1.669629441,62.03479193,22.25333683
19,Female,2979,47,163,2,11,1.733071202,60.01622797,19.98185876
77,Male,2243,17,177,3,1,1.504175312,84.59191498,37.38797502
38,Male,2996,43,81,1,5,1.574050911,66.33128165,26.77200137
50,Female,2501,26,129,2,8,1.625955645,72.0457032,27.25151783
29,Male,2310,26,4,3,10,1.803304477,79.00109746,24.29377488
75,Female,3086,103,173,1,2,1.802608489,73.30099275,22.55833452
39,Female,3252,91,76,4,1,1.74519028,59.73630373,19.61339503
78,Female,1673,62,39,3,11,1.742235257,69.07782901,22.7575279
61,Male,2598,112,10,2,2,1.555314937,79.06093548,32.68325205
42,Female,2622,24,117,4,5,1.662396456,75.21820086,27.21784475
66,Female,2012,73,165,2,3,1.449988809,49.73925332,23.65756055
44,Male,2647,118,16,1,1,1.742227631,48.28536071,15.90763749
76,Male,2640,66,74,2,11,1.620064776,59.19893361,22.55532682
59,Female,2866,29,120,0,4,1.895005786,65.34403974,18.19637589
45,Female,3230,70,25,2,7,1.68133107,59.80511266,21.1559161
77,Female,2756,34,38,2,4,1.559368338,43.81535209,18.01892518
33,Male,1628,87,97,4,4,1.61716822,49.67355774,18.99393161
32,Female,1873,36,152,2,5,1.574269961,64.35808141,25.96836888
79,Female,3098,56,87,3,8,1.580216782,94.92051475,38.01252734
79,Female,1735,108,115,2,0,1.647321215,104.1399834,38.37610741
64,Female,3367,37,157,1,1,1.531587004,79.33446537,33.82038556
79,Female,2241,15,173,0,7,1.643007703,67.46384006,24.99147324
68,Female,1689,50,40,0,11,1.4131072,70.50458145,35.30751239
61,Male,3224,68,103,2,11,1.66927288,71.3078913,25.59074438
72,Female,1667,104,177,0,7,1.558859649,74.16861247,30.52151757
69,Female,3130,87,107,4,4,1.488182321,67.95506301,30.68382787
74,Male,3192,70,171,0,4,1.736891597,63.13649201,20.92835144
20,Female,1790,89,9,1,5,1.437723161,95.60255012,46.25076692
54,Female,3383,58,72,2,7,1.724979988,51.48160052,17.30150642
68,Male,2864,117,129,0,3,1.706272728,83.77262687,28.77433099
24,Male,2918,109,119,1,3,1.542968854,43.28543924,18.18140786
38,Female,2997,14,148,0,11,1.617057383,76.52697847,29.26602256
26,Male,1638,105,117,1,0,1.681881515,45.3287938,16.02445868
56,Female,2714,20,24,2,9,1.677835889,98.06001736,34.83317054
35,Male,3488,95,21,1,10,1.75965881,58.73263665,18.96804457
21,Female,2067,116,10,0,0,1.737838678,72.20762174,23.90914927
42,Male,3042,49,171,1,6,1.774199717,84.15539366,26.7348003
77,Male,2574,101,4,2,4,1.788023758,53.69058935,16.79390147
31,Female,2490,79,5,1,4,1.663674937,71.51160419,25.83685052
